Date,City,Country,Local Time,Latitude,Longitude,Max Temp (C),Min Temp (C),Avg Temp (C),Max Wind (mph),Max Wind (kph),Total Precip (mm),Avg Humidity (%),UV Index,Condition
2023-10-27,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.3,24.4,27.2,5.6,9.0,4.84,83,7.0,Light rain shower
2023-10-28,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.3,24.4,27.4,6.5,10.4,4.43,81,7.0,Light rain shower
2023-10-29,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.0,24.6,27.4,6.3,10.1,11.47,82,7.0,Patchy light rain with thunder
2023-10-30,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.6,24.5,27.7,5.8,9.4,7.34,81,7.0,Light rain shower
2023-10-31,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.2,24.6,27.4,5.8,9.4,9.9,82,7.0,Light rain shower
2023-11-01,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.7,24.2,27.5,6.9,11.2,3.22,82,7.0,Light rain shower
2023-11-02,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.3,24.5,27.3,5.6,9.0,9.11,82,7.0,Light rain shower
2023-11-03,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.4,24.7,27.4,5.6,9.0,9.98,83,7.0,Light rain shower
2023-11-04,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,29.3,24.3,26.1,5.6,9.0,4.45,86,6.0,Light rain shower
2023-11-05,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.7,24.4,27.3,7.2,11.5,4.0,83,7.0,Patchy rain possible
2023-11-06,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.0,24.3,27.3,7.2,11.5,2.96,83,7.0,Patchy light drizzle
2023-11-07,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,29.5,23.9,25.9,6.0,9.7,6.63,86,6.0,Light rain shower
2023-11-08,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.7,24.0,27.1,6.5,10.4,4.87,81,7.0,Light rain shower
2023-11-09,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.1,24.4,27.3,8.3,13.3,0.95,81,7.0,Patchy rain possible
2023-11-10,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,29.9,23.9,25.8,7.4,11.9,4.81,89,6.0,Light rain shower
2023-11-11,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.5,24.2,27.4,8.7,14.0,3.18,79,7.0,Light rain shower
2023-11-12,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.8,24.0,27.2,6.3,10.1,4.75,80,7.0,Light rain shower
2023-11-13,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.2,23.7,26.8,5.8,9.4,4.15,82,7.0,Light rain shower
2023-11-14,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.0,23.6,26.9,4.9,7.9,4.39,81,7.0,Light rain shower
2023-11-15,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,32.2,23.9,27.3,5.8,9.4,6.71,82,7.0,Light rain shower
2023-11-17,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.6,23.1,26.3,6.7,10.8,5.87,82,7.0,Light rain shower
2023-11-18,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.3,21.7,25.8,8.7,14.0,0.08,75,7.0,Patchy rain possible
2023-11-19,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.1,21.0,25.6,8.1,13.0,0.01,73,8.0,Partly cloudy
2023-11-20,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.0,22.0,25.8,6.0,9.7,1.15,76,7.0,Light rain shower
2023-11-21,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,30.1,22.7,26.0,5.8,9.4,1.38,82,7.0,Light rain shower
2023-11-22,Ho Chi Minh City,Vietnam,2024-10-16 11:09,10.75,106.6667,31.5,22.9,26.6,6.5,10.4,0.55,79,7.0,Patchy rain possible
2023-11-23,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,26.5,23.7,24.7,4.7,7.6,1.03,90,6.0,Light drizzle
2023-11-24,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,28.5,22.9,24.8,8.5,13.7,4.56,89,6.0,Light rain shower
2023-11-25,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,28.2,22.7,24.6,6.5,10.4,5.89,82,6.0,Patchy rain possible
2023-11-26,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,31.1,22.7,25.8,7.4,11.9,11.54,85,7.0,Light rain shower
2023-11-27,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,27.0,23.2,24.7,5.1,8.3,0.71,84,6.0,Light rain shower
2023-11-28,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,31.2,22.2,26.4,6.0,9.7,0.96,74,7.0,Light rain shower
2023-11-29,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,31.9,22.7,26.8,6.0,9.7,0.52,76,7.0,Cloudy
2023-11-30,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,31.5,24.3,27.3,7.2,11.5,8.08,79,7.0,Light rain shower
2023-12-01,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,32.5,23.6,27.4,7.2,11.5,0.22,77,7.0,Patchy rain possible
2023-12-02,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,32.9,23.7,27.4,6.0,9.7,0.78,73,7.0,Patchy rain possible
2023-12-03,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,26.7,23.7,24.6,5.4,8.6,1.15,88,6.0,Patchy rain possible
2023-12-04,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,32.0,23.8,26.9,7.6,12.2,2.52,77,7.0,Patchy rain possible
2023-12-05,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,33.0,23.6,27.1,8.7,14.0,0.14,76,7.0,Patchy rain possible
2023-12-06,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,32.0,23.8,27.0,8.9,14.4,6.16,79,7.0,Light rain shower
2023-12-07,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,31.6,23.5,26.4,9.2,14.8,2.36,82,7.0,Patchy rain possible
2023-12-08,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,31.8,23.5,26.5,8.3,13.3,1.06,80,7.0,Patchy rain possible
2023-12-09,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,32.3,24.2,26.9,8.1,13.0,0.74,78,7.0,Patchy rain possible
2023-12-10,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,32.1,23.5,27.1,8.7,14.0,0.22,73,7.0,Patchy rain possible
2023-12-11,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,32.7,23.5,26.9,7.2,11.5,0.0,72,8.0,Partly cloudy
2023-12-12,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,32.8,23.4,27.2,7.4,11.9,0.0,69,8.0,Partly cloudy
2023-12-13,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,32.8,23.9,27.6,6.9,11.2,0.0,66,8.0,Partly cloudy
2023-12-14,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,33.3,24.1,27.9,9.8,15.8,0.0,67,8.0,Sunny
2023-12-15,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,33.8,23.7,27.8,9.2,14.8,0.0,66,8.0,Partly cloudy
2023-12-16,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,33.7,23.7,27.8,9.6,15.5,0.0,69,7.0,Cloudy
2023-12-17,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,33.6,24.2,27.9,7.8,12.6,0.37,68,7.0,Patchy rain possible
2023-12-18,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,34.5,23.2,28.0,7.6,12.2,0.21,66,7.0,Patchy rain possible
2023-12-19,Ho Chi Minh City,Vietnam,2024-10-16 11:10,10.75,106.6667,33.9,23.6,27.9,7.8,12.6,1.26,69,7.0,Patchy rain possible
2023-12-20,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,32.6,23.9,27.0,7.4,11.9,2.0,73,7.0,Light rain shower
2023-12-21,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,33.1,24.5,27.6,13.9,22.3,0.0,58,7.0,Overcast
2023-12-22,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,30.9,24.5,26.3,15.4,24.8,0.11,61,7.0,Patchy rain possible
2023-12-23,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,27.3,24.3,25.5,12.1,19.4,0.12,67,6.0,Patchy rain possible
2023-12-24,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,30.7,24.4,26.6,9.2,14.8,0.09,63,7.0,Patchy rain possible
2023-12-25,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,32.4,23.8,27.0,10.5,16.9,0.01,60,7.0,Cloudy
2023-12-26,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,33.1,21.8,26.5,9.8,15.8,0.0,62,8.0,Partly cloudy
2023-12-27,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,33.9,22.9,27.4,6.5,10.4,1.37,64,7.0,Light rain shower
2023-12-28,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.7,24.3,28.3,8.1,13.0,1.8,67,7.0,Light rain shower
2023-12-29,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.1,23.9,28.1,9.8,15.8,2.83,70,8.0,Patchy rain possible
2023-12-30,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.1,24.3,28.0,8.7,14.0,1.15,69,7.0,Patchy rain possible
2023-12-31,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,33.8,24.1,27.8,10.1,16.2,0.01,69,7.0,Patchy rain possible
2024-01-01,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.7,24.2,28.3,10.7,17.3,0.0,66,7.0,Cloudy
2024-01-02,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.0,24.4,28.4,10.7,17.3,0.0,63,8.0,Partly cloudy
2024-01-03,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.4,24.2,28.5,11.6,18.7,0.0,63,9.0,Partly cloudy
2024-01-04,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.3,23.5,27.8,11.2,18.0,0.0,61,8.0,Partly cloudy
2024-01-05,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,33.6,23.9,27.8,8.1,13.0,0.0,59,7.0,Cloudy
2024-01-06,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.2,24.3,28.6,10.3,16.6,0.08,58,9.0,Partly cloudy
2024-01-07,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.3,24.9,28.3,10.7,17.3,0.0,64,7.0,Cloudy
2024-01-08,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.3,24.2,28.0,11.6,18.7,0.0,65,7.0,Cloudy
2024-01-09,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.4,24.0,28.4,11.6,18.7,0.0,62,8.0,Cloudy
2024-01-10,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.8,23.6,28.2,11.4,18.4,0.0,61,7.0,Cloudy
2024-01-11,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.1,24.1,28.1,12.3,19.8,0.0,60,9.0,Partly cloudy
2024-01-12,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.1,22.8,27.0,12.8,20.5,0.0,60,8.0,Sunny
2024-01-13,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,33.9,22.2,26.8,12.8,20.5,0.0,59,8.0,Sunny
2024-01-14,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.4,22.1,26.9,11.2,18.0,0.0,56,8.0,Sunny
2024-01-15,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.1,22.4,27.2,9.2,14.8,0.0,58,8.0,Partly cloudy
2024-01-16,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,33.4,25.5,28.1,8.9,14.4,0.0,54,7.0,Overcast
2024-01-17,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.5,23.7,28.3,11.6,18.7,0.0,55,8.0,Partly cloudy
2024-01-18,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.8,25.4,29.0,12.1,19.4,0.0,55,9.0,Partly cloudy
2024-01-19,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.6,23.4,28.1,14.3,23.0,0.0,58,8.0,Partly cloudy
2024-01-20,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.7,22.4,27.3,11.6,18.7,0.0,61,8.0,Partly cloudy
2024-01-21,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.1,22.5,27.6,12.5,20.2,0.0,58,9.0,Partly cloudy
2024-01-22,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.2,23.0,28.1,13.2,21.2,0.0,54,9.0,Partly cloudy
2024-01-23,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,36.1,23.7,28.5,13.0,20.9,0.0,55,9.0,Partly cloudy
2024-01-24,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.2,23.8,28.5,12.8,20.5,0.0,55,9.0,Partly cloudy
2024-01-25,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.3,23.0,28.2,11.4,18.4,0.0,55,9.0,Partly cloudy
2024-01-26,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.1,23.2,28.0,12.8,20.5,0.0,55,9.0,Partly cloudy
2024-01-27,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.1,22.8,27.3,14.1,22.7,0.0,57,9.0,Partly cloudy
2024-01-28,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.5,22.3,27.5,11.2,18.0,0.0,54,8.0,Partly cloudy
2024-01-29,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.2,22.6,27.8,11.4,18.4,0.0,52,9.0,Partly cloudy
2024-01-30,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.5,22.9,27.9,13.2,21.2,0.0,54,9.0,Partly cloudy
2024-01-31,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,34.7,23.0,27.7,13.0,20.9,0.0,59,8.0,Partly cloudy
2024-02-01,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.9,23.3,28.0,13.9,22.3,0.0,62,9.0,Partly cloudy
2024-02-02,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,35.6,23.2,28.0,13.2,21.2,0.0,63,9.0,Partly cloudy
2024-02-03,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,36.2,23.1,28.1,14.5,23.4,0.0,67,9.0,Partly cloudy
2024-02-04,Ho Chi Minh City,Vietnam,2024-10-16 11:11,10.75,106.6667,36.2,23.3,28.4,13.4,21.6,0.0,65,9.0,Partly cloudy
2024-02-05,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,36.0,23.9,28.6,14.1,22.7,0.0,66,9.0,Partly cloudy
2024-02-06,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,36.6,24.8,28.9,15.0,24.1,0.0,64,9.0,Partly cloudy
2024-02-07,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,36.4,24.4,28.5,15.2,24.5,0.0,68,9.0,Partly cloudy
2024-02-08,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,34.9,23.8,28.1,13.9,22.3,0.0,67,8.0,Partly cloudy
2024-02-09,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,37.1,24.0,29.0,16.8,27.0,0.0,63,9.0,Sunny
2024-02-10,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,36.5,23.8,28.7,16.3,26.3,0.0,57,9.0,Sunny
2024-02-11,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,35.5,23.2,28.4,12.5,20.2,0.0,53,9.0,Sunny
2024-02-12,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,35.3,22.4,27.9,13.4,21.6,0.0,52,9.0,Sunny
2024-02-13,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,35.7,23.1,28.9,12.5,20.2,0.0,50,9.0,Partly cloudy
2024-02-14,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,36.3,24.7,29.5,13.6,22.0,0.0,52,9.0,Partly cloudy
2024-02-15,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,37.9,25.4,30.2,18.1,29.2,0.0,51,9.0,Partly cloudy
2024-02-16,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,37.6,24.2,29.5,16.6,26.6,0.0,52,9.0,Partly cloudy
2024-02-17,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,37.2,23.2,28.7,15.0,24.1,0.0,54,9.0,Sunny
2024-02-18,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,37.3,23.9,28.8,16.1,25.9,0.0,61,9.0,Sunny
2024-02-19,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,37.3,24.3,29.0,16.1,25.9,0.0,64,9.0,Partly cloudy
2024-02-20,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,36.6,24.2,28.9,16.3,26.3,0.0,65,9.0,Partly cloudy
2024-02-21,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,36.1,24.3,28.6,16.8,27.0,0.0,67,9.0,Partly cloudy
2024-02-22,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,36.5,23.6,28.8,15.7,25.2,0.0,65,9.0,Partly cloudy
2024-02-23,Ho Chi Minh City,Vietnam,2024-10-16 11:12,10.75,106.6667,36.7,24.7,29.0,15.7,25.2,0.01,65,9.0,Partly cloudy
2024-02-24,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,38.2,24.8,29.7,17.7,28.4,0.0,58,9.0,Sunny
2024-02-25,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.1,23.7,29.3,12.8,20.5,0.0,52,9.0,Sunny
2024-02-26,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.5,23.5,29.5,14.5,23.4,0.0,52,9.0,Sunny
2024-02-27,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.2,25.3,29.8,16.6,26.6,0.31,54,8.0,Patchy rain possible
2024-02-28,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.9,25.1,29.8,15.9,25.6,0.0,53,9.0,Partly cloudy
2024-02-29,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,38.0,24.4,29.6,17.4,28.1,0.0,51,9.0,Sunny
2024-03-01,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.6,24.7,30.0,16.8,27.0,0.0,50,9.0,Sunny
2024-03-02,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,38.5,25.3,29.9,17.0,27.4,0.0,54,9.0,Partly cloudy
2024-03-03,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.4,25.4,29.8,16.1,25.9,0.0,56,9.0,Partly cloudy
2024-03-04,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.6,25.1,29.5,16.3,26.3,0.0,59,9.0,Partly cloudy
2024-03-05,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.3,24.9,29.5,13.9,22.3,0.01,63,9.0,Partly cloudy
2024-03-06,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,38.4,24.9,30.1,14.8,23.8,0.0,62,9.0,Partly cloudy
2024-03-07,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.5,25.5,30.0,14.8,23.8,0.0,59,9.0,Partly cloudy
2024-03-08,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.6,25.3,29.8,17.2,27.7,0.0,54,9.0,Sunny
2024-03-09,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.7,25.2,30.1,18.6,29.9,0.0,53,9.0,Partly cloudy
2024-03-10,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,36.5,24.8,29.8,16.8,27.0,0.0,52,9.0,Partly cloudy
2024-03-11,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,39.0,24.7,30.4,18.3,29.5,0.0,51,9.0,Sunny
2024-03-12,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.8,25.5,29.8,16.8,27.0,0.0,57,9.0,Partly cloudy
2024-03-13,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,36.7,25.1,29.3,16.8,27.0,0.0,58,9.0,Partly cloudy
2024-03-14,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.5,25.1,29.6,17.0,27.4,0.0,58,9.0,Partly cloudy
2024-03-15,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.2,24.9,29.7,17.4,28.1,0.0,55,9.0,Partly cloudy
2024-03-16,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.6,24.9,29.3,16.3,26.3,0.0,60,9.0,Sunny
2024-03-17,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.9,24.9,29.8,15.4,24.8,0.0,57,9.0,Partly cloudy
2024-03-18,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.2,24.6,29.5,17.7,28.4,0.0,58,9.0,Sunny
2024-03-19,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.9,24.8,29.9,18.6,29.9,0.0,52,9.0,Sunny
2024-03-20,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.9,23.6,29.8,16.8,27.0,0.0,48,9.0,Sunny
2024-03-21,Ho Chi Minh City,Vietnam,2024-10-16 11:13,10.75,106.6667,37.0,25.1,29.8,16.3,26.3,0.0,53,9.0,Partly cloudy
2024-03-22,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,37.7,25.7,29.8,17.4,28.1,0.0,56,9.0,Partly cloudy
2024-03-23,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,35.6,26.2,29.3,15.2,24.5,0.04,63,8.0,Patchy rain possible
2024-03-24,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,36.9,25.4,29.9,15.2,24.5,0.0,60,9.0,Partly cloudy
2024-03-25,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,37.8,25.5,30.2,16.8,27.0,0.02,62,9.0,Partly cloudy
2024-03-26,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,39.6,26.1,31.2,18.3,29.5,0.0,54,9.0,Partly cloudy
2024-03-27,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,39.5,26.3,31.4,17.9,28.8,0.0,53,9.0,Sunny
2024-03-28,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,37.3,26.9,30.9,14.8,23.8,0.07,57,8.0,Patchy rain possible
2024-03-29,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,35.0,26.5,30.1,16.6,26.6,0.42,64,7.0,Patchy rain possible
2024-03-30,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,38.1,26.9,30.9,15.7,25.2,0.0,61,9.0,Partly cloudy
2024-03-31,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,38.4,26.6,31.1,15.4,24.8,0.54,61,9.0,Partly cloudy
2024-04-01,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,38.6,26.3,31.1,15.9,25.6,0.0,57,9.0,Sunny
2024-04-02,Ho Chi Minh City,Vietnam,2024-10-16 11:14,10.75,106.6667,37.0,26.4,30.5,14.5,23.4,0.0,56,9.0,Partly cloudy
